Source;Target;Type;Weight
1;3;Undirected;1
1;2;Undirected;2
1;4;Undirected;1
11;14;Undirected;1
2;3;Undirected;1
2;4;Undirected;1
30;11;Undirected;1
30;14;Undirected;1
3;4;Undirected;1
1;15;Undirected;1
2;15;Undirected;1
1;16;Undirected;2
1;17;Undirected;2
1;14;Undirected;3
1;18;Undirected;2
1;19;Undirected;1
16;17;Undirected;2
16;14;Undirected;2
16;19;Undirected;1
17;14;Undirected;2
17;18;Undirected;2
17;19;Undirected;1
14;19;Undirected;1
18;19;Undirected;1
14;18;Undirected;2
17;31;Undirected;1
17;24;Undirected;1
17;25;Undirected;1
17;26;Undirected;1
17;27;Undirected;1
17;28;Undirected;1
17;29;Undirected;1
31;16;Undirected;1
31;14;Undirected;1
31;24;Undirected;1
31;25;Undirected;1
31;1;Undirected;1
31;26;Undirected;1
31;27;Undirected;1
31;18;Undirected;1
31;28;Undirected;1
31;29;Undirected;1
16;24;Undirected;1
16;25;Undirected;1
16;26;Undirected;1
16;27;Undirected;1
16;18;Undirected;2
16;28;Undirected;1
16;29;Undirected;1
14;24;Undirected;1
14;25;Undirected;1
14;26;Undirected;1
14;27;Undirected;1
14;28;Undirected;1
14;29;Undirected;1
24;25;Undirected;1
24;26;Undirected;1
24;18;Undirected;1
24;28;Undirected;1
24;29;Undirected;1
25;1;Undirected;1
25;26;Undirected;1
25;27;Undirected;1
25;18;Undirected;1
25;28;Undirected;1
25;29;Undirected;1
1;31;Undirected;1
1;24;Undirected;1
1;26;Undirected;1
1;27;Undirected;1
1;28;Undirected;1
1;29;Undirected;1
26;27;Undirected;1
26;18;Undirected;1
26;28;Undirected;1
26;29;Undirected;1
27;18;Undirected;1
27;28;Undirected;1
27;29;Undirected;1
18;28;Undirected;1
18;29;Undirected;1
28;29;Undirected;1
1;30;Undirected;1
1;11;Undirected;1
24;27;Undirected;1